Titolo,Codice,Tipo,Volume,"Autore 1","Autore 2","Autore 3",Anno di pubblicazione,Luogo,Editore,Tags,Fondo,pdf
Rosa Luxemburg. Scritti scelti,01.1.AMOROS,Libro edito,,"Amodio, Luciano",,,1963,Milano,Edizioni Avanti!,"Politica,Socialismo,Filosofia politica",Venturati
Socialismo e fascismo,01.1.ANTSOC,Libro edito,,Antonio Gramsci,,,1966,Torino,Einaudi,"Politica,Socialismo",Venturati
Trent'anni di storia italiana (1915-1945),01.1.ANTTRE,Libro edito,,"Antonicelli, Franco",,,1961,Torino,Einaudi,"Storia,Fascismo,Resistenza",Venturati
Mondo Operaio 1956-1965,01.1.ARFMON.1,Libro edito,1,Arfè. Gaetano,,,1974,,Landi,"Politica,Socialismo",Venturati
Mondo Operaio 1956-1965,01.1.ARFMON.2,Libro edito,2,Arfè. Gaetano,,,1974,,Landi,"Politica,Socialismo",Venturati
Storia dell'Avanti! 1896-1926,01.1.ARFSTO.I,Libro edito,I,"Arfé, Gaetano",,,1956,Milano-Roma,Edizioni Avanti!,"Storia,Socialismo",Venturati
Storia dell'Avanti! 1926-1940,01.1.ARFSTO.II,Libro edito,II,"Arfé, Gaetano",,,1958,Milano-Roma,Edizioni Avanti!,"Storia,Socialismo",Venturati
Il dramma di Graziani nelle arringhe della difesa,01.1.AUGDRA,Libro edito,,"Augenti, G.P.","Mastino del Rio, G.","Carnelutti, F.",1950,Bologna,Zuffi Editore,"Storia,Biografico",Venturati
Blasco. La riabilitazione di un militante rivoluzionario,01.1.AZZBLA,Libro edito,,"Azzaroni, Alfredo",,,1962,Milano,Azione Comune,"Biografico,Comunismo,Resistenza",Venturati
La vita spiegata ai miei figli,01.1.BACVIT,Libro edito,,"Bacus-Lindroth, Anne",,,1999,Milano,Bompiani,Educazione,Venturati
Aritmetica pratica per le scuole medie inferiori,01.1.BAFARI,Libro edito,,"Baffi, Contardo",,,1934,Torino,Paravia,Educazione,Venturati
Stato e Anarchia e altri scritti,01.1.BAKSTA,Libro edito,,"Bakunin, Michail A.",,,1968,Milano,Feltrinelli,"Politica,Anarchismo",Venturati
Costituzione e organi dello stato,01.1.BALCOS,Libro edito,,"Balzamo, Vincenzo","Prosperi, Franco",,1977,Roma,Napoleone,Giuridico,Venturati
Diritti civili e libertà democratiche,01.1.BALDIR,Libro edito,,"Balsamo, Vincenzo ",,,1975,Padova,Marsilio,Giuridico,Venturati
Ordine pubblico e sicurezza democratica,01.1.BALORD,Libro edito,,"Balzamo, Vincenzo",,,1976,Firenze,La Nuova Italia,"Politica,Amministrazione,Giuridico",Venturati
Problemi di socialismo,01.1.BASPRO,Libro edito,,"Basso, Lelio",,,1972,Padova,Marsilio,"Politica,Socialismo",Venturati
Un popolo in lotta,01.1.BATPOP,Libro edito,,"Battaglia, R.","Ramat, R.",,1961,Firenze,La Nuova Italia,Storia,Venturati
Il Partito Socialista dalla Resistenza ad oggi,01.1.BENPAR,Libro edito,,"Benzoni, Alberto",,,1980,Padova,Marsilio,"Storia,Socialismo,Resistenza",Venturati
La repressione sovietica in Ungheria,01.1.BERREP,Libro edito,,"Berke, A.A.",,,1957,,,"Politica,Esteri,Comunismo",Venturati
Il comunismo europeo,01.1.BETCOM,Libro edito,,"Bettiza, Enzo",,,1978,Milano,Rizzoli,"Politica,Comunismo,Esteri",Venturati
Lenin,01.1.BEYLEN,Libro edito,,"Bey, Essad",,,1938,Milano,Treves,"Biografico,Comunismo,Storia,Politica,Filosofia politica",Venturati
Come andremo a incominciare,01.1.BIACOM,Libro edito,,"Biagi, Enzo ","Scalfari, Eugenio",,1981,Milano,Rizzoli,"Politica,Giornalismo",Venturati
Carlone. Vita di un italiano,01.1.BIGCAR,Libro edito,,"Bigiaretti, Libero",,,1956,Milano-Roma,Edizioni Avanti!,Narrativa,Venturati
Pertini racconta,01.1.BISPER,Libro edito,,"Bisiach, Gianni",,,1983,Milano,Mondadori,"Biografico,Socialismo",Venturati
Dizionario di politica,01.1.BOBDIZ,Libro edito,,"Bobbio, Norberto","Matteucci, Nicola",,1976,Torino,UTET,Politica,Venturati
L'Italia è Malata,01.1.BOCLIT,Libro edito,,"Bocca, Giorgio",,,1977,Roma,L'Espresso,"Inchiesta,Politica",Venturati
Miracolo all'italiana,01.1.BOCMIR,Libro edito,,"Bocca, Giorgio",,,1962,Milano,Edizioni Avanti!,"Inchiesta,Politica,Storia",Venturati
Mussolini socialfascista,01.1.BOCMUS,Libro edito,,"Bocca, Giorgio",,,1983,,Garzanti,"Storia,Fascismo",Venturati
Palmiro Togliatti,01.1.BOCPAL,Libro edito,,"Bocca, Giorgio",,,1973,Roma-Bari,Laterza,"Biografico,Storia,Comunismo",Venturati
Storia della Repubblica Italiana,01.1.BOCSTO,Libro edito,,"Bocca, Giorgio",,,1982,Milano,Rizzoli,Storia,Venturati
Il terrorismo italiano 1970-1978,01.1.BOCTER,Libro edito,,"Bocca, Giorgio",,,1978,Milano,Rizzoli,"Inchiesta,Terrorismo",Venturati
Storia delle dottrine politiche. L'assolutismo europeo,01.1.BOISTO.1,Libro edito,1,"Boiardi, Franco",,,1979,Milano,Nuova CEI,"Politica,Filosofia politica",Venturati
Storia delle dottrine politiche. Rivoluzione e restauro 1781-1820,01.1.BOISTO.2,Libro edito,2,"Boiardi, Franco",,,1979,Milano,Nuova CEI,"Politica,Filosofia politica",Venturati
Storia delle dottrine politiche. L'età liberale 1821-1871,01.1.BOISTO.3,Libro edito,3,"Boiardi, Franco",,,1979,Milano,Nuova CEI,"Politica,Filosofia politica",Venturati
Storia delle dottrine politiche. L'età contemporanea 1872-1945,01.1.BOISTO.4,Libro edito,4,"Boiardi, Franco",,,1980,Milano,Nuova CEI,"Politica,Filosofia politica",Venturati
Storia delle dottrine politiche. Colonialismo e imperialismo 1575-1945,01.1.BOISTO.5,Libro edito,5,"Boiardi, Franco",,,1982,Milano,Nuova CEI,"Politica,Filosofia politica",Venturati
La cancrena,01.1.BOUCAN,Libro edito,,"Boumaza, Bechir","Francis, Mustapha",,1959,Torimo,Einaudi,"Inchiesta,Esteri",Venturati
Marx e Engels,01.1.BRAMAR,Libro edito,,"Bravo, Gian Maria",,,1962,Milano,Edizioni Avanti!,"Politica,Filosofia politica,Socialismo,Comunismo",Venturati
La politica di un socialista,01.1.BRAPOL,Libro edito,,"Brandt, Willy",,,1979,,Garzanti,"Biografico,Socialismo",Venturati
Marx a Londra. La vita quotidiana negli anni dell'esilio,01.1.BRIMAR,Libro edito,,"Briggs, Asa",,,1982,Roma,Rinascita,"Biografico,Filosofia politica,Comunismo,Socialismo",Venturati
La programmazione in Italia,01.1.BRIPRO,Libro edito,,"Brigida, Franco",,,1968,Padova,Marsilio,"Inchiesta,Amministrazione,Politica",Venturati
Socialismo libertario,01.1.CAFSOC,Libro edito,,"Caffi, Andrea",,,1964,Milano,Azione Comune,"Politica,Socialismo",Venturati
La casa di campagna,01.1.CALCAS,Libro edito,,"Calamandrei, Piero",,,1965,Firenze,La Nuova Italia,Biografico,Venturati
La Costituzione Italiana,01.1.CALCOS,Libro edito,,"Calamandrei, Piero",,,1956,Milano-Roma,Edizioni Avanti!,Giuridico,Venturati
Lettere 1915-1956,01.1.CALLET,Libro edito,,"Calamandrei, Piero",,,1968,Firenze,La nuova Italia,"Resistenza,Politica",Venturati
I nodi della pace,01.1.CALNOD,Libro edito,,"Calchi-Novati, Gianpaolo",,,1968,Padova,Marsilio,"Politica,Esteri",Venturati
Atti della Costituente sull'Art. 7,01.1.CAPATT,Libro edito,,"Capitini, Aldo","Lacaita, Piero",,1959,Perugia,Lacaita,Giuridico,Venturati
La libertà religiosa in Italia,01.1.CAPLIB,Libro edito,,"Capitini, Aldo",Alia,,1956,Firenze,La Nuova Italia,"Politica,Religione",Venturati
Lo sviluppo italiano nel Dopoguerra,01.1.CAPSVI,Libro edito,,"Caperdoni, Enrico",,,1968,Padova,Marsilio,"Storia,Economia",Venturati
Giolitti e l'età giolittiana,01.1.CARGIO,Libro edito,,"Carocci, Giampiero",,,1961,Torino,Einaudi,Storia,Venturati
Il sole sorge a ponente,01.1.CARSOL,Libro edito,,"Carini, Lisli",,,1959,Milano,Edizioni Avanti!,"Politica,Esteri,Comunismo",Venturati
Spesa pubblica e iniziativa imprenditoriale,01.1.CARSPE,Libro edito,,"Carabba, Manin",,,1966,Torino,Einaudi,"Economia,Amministrazione",Venturati
Storia della resistenza,01.1.CARSTO,Libro edito,,"Carli-Bellola, Renato",,,1957,Milano-Roma,Edizioni Avanti!,"Storia,Resistenza",Venturati
Bruno Buozzi,01.1.CASBRU,Libro edito,,"Castagno, Gino",,,1955,Milano-Roma,Edizioni Avanti!,"Biografico,Socialismo,Resistenza",Venturati
Filippo Turati,01.1.CATFIL,Libro edito,,"Catalano, Franco",,,1957,Milano-Roma,Edizioni Avnati!,"Biografico,Socialismo",Venturati
La Russia contro Kruscev,01.1.CAVRUS,Libro edito,,"Cavallari, Alberto",,,1964,Firenze,Vallecchi,"Politica,Esteri,Comunismo",Venturati
Trattato che istituisce la Comunità Europea,01.1.CEETRA,Libro edito,,CEE,,,1957,Bruxelles,Segretariato del Comitato Centrale per il Mercato Comune e l'Euroatom,"Giuridico,Esteri",Venturati
Crisi economica e condizionamenti internazionali dell'Italia,01.1.CENCRI.1,Libro edito,1,Centro Studi di Politica Economica,,,1976,Roma,Editori Riuniti,"Economia,Esteri",Venturati
Crisi economica e condizionamenti internazionali dell'Italia,01.1.CENCRI.2,Libro edito,2,Centro Studi di Politica Economica,,,1976,Roma,Editori Riuniti,"Esteri,Economia",Venturati
L'Italia contemporanea (1918-1948),01.1.CHALIT,Libro edito,,"Chabod, Federico",,,1961,Torino,Einaudi,"Storia,Fascismo,Resistenza",Venturati
Perché il Vietnam esiste,01.1.CHEPER,Libro edito,,"Chesneaux, Jean",,,1968,Torino,Einaudi,"Storia,Esteri",Venturati
Il marxismo e lo Stato,01.1.COEMAR,Libro edito,,"Coen, Federico",Alia,,1976,Roma,Mondoperaio,"Politica,Comunismo",Venturati
Il marxismo e lo Stato,01.1.COEMAR,Libro edito,,"Coen, Federico",ALia,,1976,Milano,Mondoperaio,"Politica,Comunismo",Venturati
Il sistema societico tra Stalin e Breznev,01.1.COESIS,Libro edito,,"Coen, Federico",,,1974,Roma,Mondoperaio,"Inchiesta,Comunismo,Esteri,Politica",Venturati
Il sistema sovietico fra Stalin e Breznev,01.1.COESIS,Libro edito,,"Coen, Federico",,,1974,Roma,Mondoperaio,"Politica,Comunismo,Esteri,Inchiesta",Venturati
La Cina rivoluzionaria,01.1.COLCIN,Libro edito,,"Collotti Pischel, Enrica",,,1965,Torino,Einaudi,"Politica,Comunismo,Esteri",Venturati
Classe operaia e ceti medi,01.1.COLCLA,Libro edito,,"Colarizi, Simona",,,1976,Padova,Marsilio,"Storia,Socialismo,Economia,Comunismo",Venturati
Classe operaia e ceti medi,01.1.COLCLA,Libro edito,,"Colarizi, Simona",,,1980,Padova,Marsilio,"Storia,Socialismo,Economia,Comunismo",Venturati
Le origini ideologiche della rivoluzione cinese,01.1.COLORI,Libro edito,,"Collotti Pischel, Enrica",,,1958,Torino,Einaudi,"Politica,Comunismo,Esteri",Venturati
La costituzione del partito socialista italiano,01.1.CORCOS,Libro edito,,"Corte, Luigi",,,1961,Milano,Edizioni Avanti!,"Storia,Socialismo",Venturati
I Mille giorni di Allende. L'azione del Governo di Unidad Popular in 125 documenti,01.1.CORMIL,Libro edito,,"Corossacz, Anna",,,1975,Roma,Mondoperaio,"Politica,Socialismo",Venturati
La verità sul 9 settembre,01.1.CORVER,Libro edito,,"Corona, Achille",,,SD,Roma-Milano,Edizioni Avanti!,"Inchiesta,Fascismo,Resistenza",Venturati
Cento anni dopo,01.1.CRACEN,Libro edito,,"Craxi, Bettino",,,SD,,Biblioteca Rossa,"Politica,Socialismo",Venturati
Pace sicurezza indipendenza,01.1.CRAPAC,Libro edito,,"Craxi, Bettino",,,1981,Roma,Il compagno,"Politica,Socialismo",Venturati
Un passo avanti,01.1.CRAPAS,Libro edito,,"Craxi, Bettino",,,1981,Roma,Sugarco,"Politica,Socialismo",Venturati
Pluralismo o lenininsmo,01.1.CRAPLU,Libro edito,,"Craxi, Bettino",,,1978,Milano,Sugarco,"Politica,Socialismo,Comunismo",Venturati
Prove,01.1.CRAPRO,Libro edito,,"Craxi, Bettino",,,1980,Roma,Sugarco,"Politica,Socialismo",Venturati
Obsolescenza delle ideologie,01.1.DAGOBS,Libro edito,,"Dagnino, Virgilio",,,1967,Milano,Azione Comune,Politica,Venturati
Il mestiere di morire,01.1.DAPMES,Libro edito,,"Da Pozzo, Gusti",,,1962,Milano,Edizioni Avanti!,Politica,Venturati
Scienza e tecnologia in Italia,01.1.DEFSCI,Libro edito,,"De Falco, Antonio",,,1968,Padova,Marsilio,Inchiesta,Venturati
Le istituzioni fra crisi e rinnovamento,01.1.DELIST,Libro edito,,"Del Pennino, Antonio",,,1983,Milano,PRI,Elettorale,Venturati
"Sanità pubblica, sicurezza sociale e programmazione economica",01.1.DELSAN,Libro edito,,"Delogu, Severino",,,1967,Torino,Einaudi,"Economia,Amministrazione",Venturati
Civiltà cattolica 1850-1945,01.1.DERCIV.1,Libro edito,1,"De Rosa, Gabriele",,,1971,,Landi,"Storia,Chiesa",Venturati
Civiltà cattolica 1850-1945,01.1.DERCIV.2,Libro edito,2,"De Rosa, Gabriele",,,1971,,Landi,"Storia,Chiesa",Venturati
Civiltà cattolica 1850-1945,01.1.DERCIV.3,Libro edito,3,"De Rosa, Gabriele",,,1971,,Landi,"Storia,Chiesa",Venturati
Civiltà cattolica 1850-1945,01.1.DERCIV.4,Libro edito,4,"De Rosa, Gabriele",,,1971,,Landi,"Storia,Chiesa",Venturati
Il socialismo oggi e domani,01.1.DERSOC,Libro edito,,"D’eramo, Marco",,,1976,Cosenza,Edistampa - Edizioni Lerici,"Politica,Socialismo",Venturati
Uomini e dio,01.1.DERUOM,Libro edito,,"Der Meer, Van",,,1955,Alba,Edizioni Paoline,"Filosofia,Chiesa",Venturati
5 lezioni di Francesco De Sanctis su Mazzini,01.1.DES5LE,Libro edito,,"De Sanctis, Francesco",,,1972,Roma,Orlando,Storia,Venturati
La grande contesa,01.1.DEUGRA,Libro edito,,"Deutscher, Isaac",,,1960,Torino,Einaudi,Politica,Venturati
I socialisti e la sfida tecnologica in Italia e in europa,01.1.DIDSOC.4,Libro edito,4,"Didò, Mario","Manca, Enrico","Forte, Francesco",1984,Roma,Il compagno,"Politica,Socialismo",Venturati
Una nuova politica per il 1970,01.1.DIMNUO,Libro edito,,"Di Martino, Francesco",,,1969,Milano,Avanti!,"Politica,Socialismo",Venturati
Una politica per la piena occupazione,01.1.DOLPOL,Libro edito,,"Dolci, Danilo",,,1958,Torino,Einaudi,"Politica,Amministrazione,Economia",Venturati
"Dittatura, classe politica e classe dirigente",01.1.DORDIT,Libro edito,,"Dorso, Guido",,,1955,Torino,Einaudi,Politica,Venturati
L'occasione storica,01.1.DORLOC,Libro edito,,"Dorso, Guido",,,1949,Torino,Einaudi,Politica,Venturati
La rivoluzione meridionale,01.1.DORRIV,Libro edito,,"Dorso, Guido",,,1955,Torino,Einaudi,Politica,Venturati
Memorie partigiane,01.1.DUNMEM,Libro edito,,"Dunchi, Nardo",,,1957,Firenze,La Nuova Italia,"Biografico,Resistenza",Venturati
Lo scrittoio del Presidente 1948-1955,01.1.EINSCR,Libro edito,,"Einaudi, Luigi",,,1956,Torino,Einaudi,Politica,Venturati
Gli ideali del Risorgimento e dell'Unità,01.1.ENBIDE,Libro edito,,ENBPS,,,1961,Roma,ENBPS,Storia,Venturati
Marx come pensatore e come uomo,01.1.ENGMAR,Libro edito,,Engels,Lafargue,Liebnecht,SD,Roma,L'Unità,"Biografico,Filosofia politica,Comunismo,Socialismo",Venturati
