Titolo;Codice;Tipo;Volume;Autore (Cognome, Nome);Autore (Cognome, Nome) copy;Autore (Cognome, Nome) copy copy;Anno di pubblicazione;Luogo;Editore;Tags;Fondo;Fondo (from Fondo);pdf;Immagine;Collocazione
Stato e chiesa in Polonia;01.1.ARPSTA;Libro edito;;Associazione italiana per i rapporti culturali con la Polonia;;;1959;Roma;Conoscersi;Politica,Chiesa,Esteri;Venturati;Venturati;;;
Il dramma di Graziani nelle arringhe della difesa;01.1.AUGDRA;Libro edito;;Augenti, G.P.;Mastino del Rio, G.;Carnelutti, F.;1950;Bologna;Zuffi Editore;Storia,Biografico;Venturati;Venturati;;;
Blasco. La riabilitazione di un militante rivoluzionario;01.1.AZZBLA;Libro edito;;Azzaroni, Alfredo;;;1962;Milano;Azione Comune;Biografico,Comunismo,Resistenza;Venturati;Venturati;;;
La vita spiegata ai miei figli;01.1.BACVIT;Libro edito;;Bacus-Lindroth, Anne;;;1999;Milano;Bompiani;Educazione;Venturati;Venturati;;;
Aritmetica pratica per le scuole medie inferiori;01.1.BAFARI;Libro edito;;Baffi, Contardo;;;1934;Torino;Paravia;Educazione;Venturati;Venturati;;;
Stato e Anarchia e altri scritti;01.1.BAKSTA;Libro edito;;Bakunin, Michail A.;;;1968;Milano;Feltrinelli;Politica,Anarchismo;Venturati;Venturati;;;
Costituzione e organi dello stato;01.1.BALCOS;Libro edito;;Balzamo, Vincenzo;Prosperi, Franco;;1977;Roma;Napoleone;Giuridico;Venturati;Venturati;;;
Diritti civili e libertà democratiche;01.1.BALDIR;Libro edito;;Balzamo, Vincenzo ;;;1975;Padova;Marsilio Editori;Giuridico;Venturati;Venturati;;;
Diritti civili e libertà democratiche;01.1.BALDIRbis;Libro edito;;Balzamo, Vincenzo;;;1975;Padova;Marsilio Editori;Politica,Giuridico;Venturati;Venturati;;;
Ordine pubblico e sicurezza democratica;01.1.BALORD;Libro edito;;Balzamo, Vincenzo;;;1976;Firenze;La Nuova Italia;Politica,Amministrazione,Giuridico;Venturati;Venturati;;;
Il capitale monopolistico;01.1.BARCAP;Libro edito;;Baranz Paul;Sweezy Paul;;1968;Torino;Einaudi;Economia,Politica,Amministrazione;Venturati;Venturati;;;
Mancini;01.1.BARMAC;Libro edito;;Barrese, Orazio;;;1976;Milano;Feltrinelli;Politica,Socialismo;Venturati;Venturati;;;
Problemi di socialismo;01.1.BASPRO;Libro edito;;Basso, Lelio;;;1972;Padova;Marsilio Editori;Politica,Socialismo;Venturati;Venturati;;;
Socialisti e cattolici al bivio;01.1.BASSOC;Libro edito;;Basso, Lelio;;;1961;Manduria-Bari-Perugia;Lacaita;Politica,Socialismo,Democrazia Cristiana;Venturati;Venturati;;;
Un popolo in lotta;01.1.BATPOP;Libro edito;;Battaglia, R.;Ramat, R.;;1961;Firenze;La Nuova Italia;Storia;Venturati;Venturati;;;
Il Partito Socialista dalla Resistenza ad oggi;01.1.BENPAR;Libro edito;;Benzoni, Alberto;;;1980;Padova;Marsilio Editori;Storia,Socialismo,Resistenza;Venturati;Venturati;;;
La repressione sovietica in Ungheria;01.1.BERREP;Libro edito;;Berke, A.A.;;;1957;Milano;Mondadori;Politica,Esteri,Comunismo;Venturati;Venturati;;;
Ateo a 18 anni?;01.1.BETATE;Libro edito;;Bettazzi Luigi;;;1982;Milano ;Rizzoli;Religione;Venturati;Venturati;;;
Il comunismo europeo;01.1.BETCOM;Libro edito;;Bettiza, Enzo;;;1978;Milano;Rizzoli;Politica,Comunismo,Esteri;Venturati;Venturati;;;
Lenin;01.1.BEYLEN;Libro edito;;Bey, Essad;;;1938;Milano;Treves;Biografico,Comunismo,Storia,Politica,Filosofia politica;Venturati;Venturati;;;
Come andremo a incominciare;01.1.BIACOM;Libro edito;;Biagi, Enzo ;Scalfari, Eugenio;;1981;Milano;Rizzoli;Politica,Giornalismo;Venturati;Venturati;;;
Carlone. Vita di un italiano;01.1.BIGCAR;Libro edito;;Bigiaretti, Libero;;;1956;Milano-Roma;Edizioni Avanti!;Narrativa;Venturati;Venturati;;;
Pertini racconta;01.1.BISPER;Libro edito;;Bisiach, Gianni;;;1983;Milano;Mondadori;Biografico,Socialismo;Venturati;Venturati;;;
Pertini racconta;01.1.BISPERbis;Libro edito;;Bisiach, Gianni;;;1983;Milano;Mondadori;Politica,Socialismo,Storia,Resistenza;Venturati;Venturati;;;
Dizionario di politica;01.1.BOBDIZ;Libro edito;;Bobbio, Norberto;Matteucci, Nicola;;1976;Torino;UTET;Politica;Venturati;Venturati;;;
Il marxismo e lo Stato;01.1.BOBMAR;Libro edito;;Bobbio, Norberto;Alia;;1976;Roma;Mondoperaio;Politica,Comunismo;Venturati;Venturati;;;
Il marxismo e lo Stato;01.1.BOBMARbis;Libro edito;;Bobbio, Norberto;;;1976;Milano;Mondoperaio;Politica,Comunismo;Venturati;Venturati;;;
L'Italia è Malata;01.1.BOCLIT;Libro edito;;Bocca, Giorgio;;;1977;Roma;L'Espresso;Inchiesta,Politica;Venturati;Venturati;;;
Miracolo all'italiana;01.1.BOCMIR;Libro edito;;Bocca, Giorgio;;;1962;Milano;Edizioni Avanti!;Inchiesta,Politica,Storia;Venturati;Venturati;;;
Mussolini socialfascista;01.1.BOCMUS;Libro edito;;Bocca, Giorgio;;;1983;Milano;Garzanti;Storia,Fascismo;Venturati;Venturati;;;
Palmiro Togliatti;01.1.BOCPAL;Libro edito;;Bocca, Giorgio;;;1973;Roma-Bari;Laterza;Biografico,Storia,Comunismo;Venturati;Venturati;;;
Storia della Repubblica Italiana;01.1.BOCSTO;Libro edito;;Bocca, Giorgio;;;1982;Milano;Rizzoli;Storia;Venturati;Venturati;;;
Il terrorismo italiano 1970-1978;01.1.BOCTER;Libro edito;;Bocca, Giorgio;;;1978;Milano;Rizzoli;Inchiesta,Terrorismo;Venturati;Venturati;;;
Storia delle dottrine politiche. L'assolutismo europeo;01.1.BOISTO.1;Libro edito;1;Boiardi, Franco;;;1979;Milano;Nuova CEI;Politica,Filosofia politica;Venturati;Venturati;;;
Storia delle dottrine politiche. Rivoluzione e restauro 1781-1820;01.1.BOISTO.2;Libro edito;2;Boiardi, Franco;;;1979;Milano;Nuova CEI;Politica,Filosofia politica;Venturati;Venturati;;;
Storia delle dottrine politiche. L'età liberale 1821-1871;01.1.BOISTO.3;Libro edito;3;Boiardi, Franco;;;1979;Milano;Nuova CEI;Politica,Filosofia politica;Venturati;Venturati;;;
Storia delle dottrine politiche. L'età contemporanea 1872-1945;01.1.BOISTO.4;Libro edito;4;Boiardi, Franco;;;1980;Milano;Nuova CEI;Politica,Filosofia politica;Venturati;Venturati;;;
Storia delle dottrine politiche. Colonialismo e imperialismo 1575-1945;01.1.BOISTO.5;Libro edito;5;Boiardi, Franco;;;1982;Milano;Nuova CEI;Politica,Filosofia politica;Venturati;Venturati;;;
Le battaglie politico-ideologiche;01.1.BONBAT;Libro edito;;Bonetti, Paolo;;;1978;Milano;Il Mondo;Politica;Venturati;Venturati;;;
Le battaglie economiche;01.1.BONBATbis;Libro edito;;Bonetti, Paolo;;;1978;Milano;Il Mondo;Economia,Politica;Venturati;Venturati;;;
La cancrena;01.1.BOUCAN;Libro edito;;Boumaza, Bechir;Francis, Mustapha;;1959;Torino;Einaudi;Inchiesta,Esteri;Venturati;Venturati;;;
La politica di un socialista;01.1.BRANPOL;Libro edito;;Brandt, Willy;;;1979;Milano;Garzanti;Biografico,Socialismo;Venturati;Venturati;;;
Marx e Engels;01.1.BRAVMAR;Libro edito;;Bravo, Gian Maria;;;1962;Milano;Edizioni Avanti!;Politica,Filosofia politica,Socialismo,Comunismo;Venturati;Venturati;;;
Marx a Londra. La vita quotidiana negli anni dell'esilio;01.1.BRIMAR;Libro edito;;Briggs, Asa;;;1982;Roma;Rinascita;Biografico,Filosofia politica,Comunismo,Socialismo;Venturati;Venturati;;;
La programmazione in Italia;01.1.BRIPRO;Libro edito;;Brigida, Franco;;;1968;Padova;Marsilio Editori;Inchiesta,Amministrazione,Politica;Venturati;Venturati;;;
Socialismo libertario;01.1.CAFSOC;Libro edito;;Caffi, Andrea;;;1964;Milano;Azione Comune;Politica,Socialismo;Venturati;Venturati;;;
Calamandrei;01.1.CALACAL.1;Libro edito;1;Calamandrei, Piero;Enriques Agnoletti, Enzo;;1958;Firenze;La Nuova Italia;Biografico,Politica;Venturati;Venturati;;;
La casa di campagna;01.1.CALACAS;Libro edito;;Calamandrei, Piero;;;1965;Firenze;La Nuova Italia;Biografico;Venturati;Venturati;;;
La Costituzione Italiana;01.1.CALACOS;Libro edito;;Calamandrei, Piero;;;1956;Milano-Roma;Edizioni Avanti!;Giuridico;Venturati;Venturati;;;
Lettere 1915-1956 ;01.1.CALALET.1;Libro edito;1;Calamandrei, Piero;;;1968;Firenze;La nuova Italia;Resistenza,Politica;Venturati;Venturati;;;
Lettere 1915-1956;01.1.CALALET.2;Libro edito;2;Calamandrei, Pietro;;;1968;Firenze;La Nuova Italia;Resistenza,Politica;Venturati;Venturati;;;
Scritti e discorsi politici. Storia di dodici anni;01.1.CALASCR.1.1;Libro edito;1.1;Calamandrei, Pietro;;;1966;Firenze;La Nuova Italia;Politica,Resistenza;Venturati;Venturati;;;
Scritti e discorsi politici. Storia di dodici anni;01.1.CALASCR.1.2;Libro edito;1.2;Calamandrei, Pietro;;;1966;Firenze;La Nuova Italia;Politica,Resistenza;Venturati;Venturati;;;
Scritti e discorsi politici. Discorsi parlamentari e politica costituzionale;01.1.CALASCR.2;Libro edito;2;Calamandrei;;;1966;Firenze;La Nuova Italia;Politica;Venturati;Venturati;;;
I nodi della pace;01.1.CALCNOD;Libro edito;;Calchi-Novati, Gianpaolo;;;1968;Padova;Marsilio Editori;Politica,Esteri;Venturati;Venturati;;;
Si fa presto a dire fame ;01.1.CALESIF;Libro edito;;Caleffi, Pietro ;;;1960;Novara ;Il Gallo;Politica,Biografico,Resistenza,Socialismo;Venturati;Venturati;;;
Lo sviluppo italiano nel Dopoguerra;01.1.CAPESVI;Libro edito;;Caperdoni, Enrico;;;1968;Padova;Marsilio Editori;Storia,Economia;Venturati;Venturati;;;
Atti della Costituente sull'Art. 7;01.1.CAPIATT;Libro edito;;Capitini, Aldo;Lacaita, Piero;;1959;Perugia;Lacaita;Giuridico;Venturati;Venturati;;;
La libertà religiosa in Italia;01.1.CAPILIB;Libro edito;;Capitini, Aldo;Magni, Cesare;Borghi, Lamberto;1956;Firenze;La Nuova Italia;Politica,Religione;Venturati;Venturati;;;
Spesa pubblica e iniziativa imprenditoriale;01.1.CARASPE;Libro edito;;Carabba, Manin;;;1966;Torino;Einaudi;Economia,Amministrazione;Venturati;Venturati;;;
Manzoni. Ideologia e stile;01.1.CAREMAN;Libro edito;;Caretti, Lanfranco;;;1974;Torino;Einaudi;Letteratura;Venturati;Venturati;;;
Il sole sorge a ponente;01.1.CARISOL;Libro edito;;Carini, Lisli;;;1959;Milano;Edizioni Avanti!;Politica,Esteri,Comunismo;Venturati;Venturati;;;
Storia della resistenza;01.1.CARLSTO;Libro edito;;Carli-Bellola, Renato;;;1957;Milano-Roma;Edizioni Avanti!;Storia,Resistenza;Venturati;Venturati;;;
Giolitti e l'età giolittiana;01.1.CAROGIO;Libro edito;;Carocci, Giampiero;;;1961;Torino;Einaudi;Storia;Venturati;Venturati;;;
Bruno Buozzi;01.1.CASBRU;Libro edito;;Castagno, Gino;;;1955;Milano-Roma;Edizioni Avanti!;Biografico,Socialismo,Resistenza;Venturati;Venturati;;;
Filippo Turati;01.1.CATFIL;Libro edito;;Catalano, Franco;;;1957;Milano-Roma;Edizioni Avanti!;Biografico,Socialismo;Venturati;Venturati;;;
La Russia contro Kruscev;01.1.CAVRUS;Libro edito;;Cavallari, Alberto;;;1964;Firenze;Vallecchi;Politica,Esteri,Comunismo;Venturati;Venturati;;;
Trattato che istituisce la Comunità Europea;01.1.CEETRA;Libro edito;;CEE;;;1957;Bruxelles;Segretariato del Comitato Centrale per il Mercato Comune e l'Euroatom;Giuridico,Esteri;Venturati;Venturati;;;
L'Italia contemporanea (1918-1948);01.1.CHALIT;Libro edito;;Chabod, Federico;;;1961;Torino;Einaudi;Storia,Fascismo,Resistenza;Venturati;Venturati;;;
Perché il Vietnam esiste;01.1.CHEPER;Libro edito;;Chesneaux, Jean;;;1968;Torino;Einaudi;Storia,Esteri;Venturati;Venturati;;;
Il sistema sovietico tra Stalin e Breznev;01.1.COESIS;Libro edito;;Coen, Federico;;;1974;Roma;Mondoperaio;Inchiesta,Comunismo,Esteri,Politica;Venturati;Venturati;;;
Il sistema sovietico fra Stalin e Breznev;01.1.COESISbis;Libro edito;;Coen, Federico;;;1974;Roma;Mondoperaio;Politica,Comunismo,Esteri,Inchiesta;Venturati;Venturati;;;
Classe operaia e ceti medi;01.1.COLACLA;Libro edito;;Colarizi, Simona;;;1976;Padova;Marsilio Editori;Storia,Socialismo,Economia,Comunismo;Venturati;Venturati;;;
Classe operaia e ceti medi;01.1.COLACLAbis;Libro edito;;Colarizi, Simona;;;1980;Padova;Marsilio Editori;Storia,Socialismo,Economia,Comunismo;Venturati;Venturati;;;
La Cina rivoluzionaria;01.1.COLLCIN;Libro edito;;Collotti Pischel, Enrica;;;1965;Torino;Einaudi;Politica,Comunismo,Esteri;Venturati;Venturati;;;
Le origini ideologiche della rivoluzione cinese;01.1.COLLORI;Libro edito;;Collotti Pischel, Enrica;;;1958;Torino;Einaudi;Politica,Comunismo,Esteri;Venturati;Venturati;;;
La costituzione del partito socialista italiano;01.1.CORCOS;Libro edito;;Corte, Luigi;;;1961;Milano;Edizioni Avanti!;Storia,Socialismo;Venturati;Venturati;;;
I Mille giorni di Allende. L'azione del Governo di Unidad Popular in 125 documenti;01.1.CORMIL;Libro edito;;Corossacz, Anna;;;1975;Roma;Mondoperaio;Politica,Socialismo;Venturati;Venturati;;;
La verità sul 9 settembre;01.1.CORVER;Libro edito;;Corona, Achille;;;1945;Roma-Milano;Edizioni Avanti!;Inchiesta,Fascismo,Resistenza;Venturati;Venturati;;;
"Lo ""strappo""";01.1.COSSTR;Libro edito;;Cossutta, Armando;;;1982;Milano;Mondadori;Politica,Comunismo;Venturati;Venturati;;;
I socialisti e il caso Moro;01.1.COVSOC;Libro edito;;Covatta, Luigi;Baget Bozzo, Gianni;Vassalli, Giuliano;1983;Roma;Il compagno;Politica,Socialismo,Inchiesta;Venturati;Venturati;;;
Cento anni dopo;01.1.CRACEN;Libro edito;;Craxi, Bettino;;;1982;Milano;Biblioteca Rossa;Politica,Socialismo;Venturati;Venturati;;;
Pace sicurezza indipendenza;01.1.CRAPAC;Libro edito;;Craxi, Bettino;;;1981;Roma;Il compagno;Politica,Socialismo;Venturati;Venturati;;;
Un passo avanti;01.1.CRAPAS;Libro edito;;Craxi, Bettino;;;1981;Roma;Sugarco;Politica,Socialismo;Venturati;Venturati;;;
Pluralismo o leninismo;01.1.CRAPLU;Libro edito;;Craxi, Bettino;;;1978;Milano;Sugarco;Politica,Socialismo,Comunismo;Venturati;Venturati;;;
Prove;01.1.CRAPRO;Libro edito;;Craxi, Bettino;;;1980;Roma;Sugarco;Politica,Socialismo;Venturati;Venturati;;;
Il rinnovamento socialista per il rinnovamento dell'Italia;01.1.CRARIN;Libro edito;;Craxi, Bettino;Molaioli, Angelo;;1981;Milano;Sezione propaganda del PSI;Politica,Socialismo;Venturati;Venturati;;;
Tre anni;01.1.CRATRE;Libro edito;;Craxi, Bettino;;;1983;Milano;SugarCo Edizioni;Politica,Socialismo;Venturati;Venturati;;;
Crisi economica e condizionamenti internazionali dell'Italia;01.1.CSPCRI.1;Libro edito;1;Centro Studi di Politica Economica;;;1976;Roma;Editori Riuniti;Economia,Esteri;Venturati;Venturati;;;
Crisi economica e condizionamenti internazionali dell'Italia;01.1.CSPCRI.2;Libro edito;2;Centro Studi di Politica Economica;;;1976;Roma;Editori Riuniti;Esteri,Economia;Venturati;Venturati;;;
Obsolescenza delle ideologie;01.1.DAGOBS;Libro edito;;Dagnino, Virgilio;;;1967;Milano;Azione Comune;Politica;Venturati;Venturati;;;
Il mestiere di morire;01.1.DAPMES;Libro edito;;Da Pozzo, Gusti;;;1962;Milano;Edizioni Avanti!;Politica;Venturati;Venturati;;;
Scienza e tecnologia in Italia;01.1.DEFSCI;Libro edito;;De Falco, Antonio;;;1968;Padova;Marsilio Editori;Inchiesta;Venturati;Venturati;;;
Le istituzioni fra crisi e rinnovamento;01.1.DELIST;Libro edito;;Del Pennino, Antonio;;;1983;Milano;PRI;Elettorale;Venturati;Venturati;;;
Sanità pubblica,  sicurezza sociale e programmazione economica;01.1.DELSAN;Libro edito;;Delogu, Severino;;;1967;Torino;Einaudi;Economia,Amministrazione;Venturati;Venturati;;;
È possibile il trapianto degli organi vitali?;01.1.DEMEPO;Libro edito;;Demichov, Wladimir Petrowich;;;1959;Milano;Edizioni Avanti!;Storia;Venturati;Venturati;;;
Il socialismo oggi e domani;01.1.DERASOC;Libro edito;;D’eramo, Marco;;;1976;Cosenza;Edistampa - Edizioni Lerici;Politica,Socialismo;Venturati;Venturati;;;
Uomini e dio;01.1.DERMUOM;Libro edito;;Der Meer, Van;;;1955;Alba;Edizioni Paoline;Filosofia,Chiesa;Venturati;Venturati;;;
Civiltà cattolica 1850-1945;01.1.DEROCIV.1;Libro edito;1;De Rosa, Gabriele;;;1971;Firenze;Landi;Storia,Chiesa;Venturati;Venturati;;;
Civiltà cattolica 1850-1945;01.1.DEROCIV.2;Libro edito;2;De Rosa, Gabriele;;;1971;Firenze;Landi;Storia,Chiesa;Venturati;Venturati;;;
Civiltà cattolica 1850-1945;01.1.DEROCIV.3;Libro edito;3;De Rosa, Gabriele;;;1971;Firenze;Landi;Storia,Chiesa;Venturati;Venturati;;;
Civiltà cattolica 1850-1945;01.1.DEROCIV.4;Libro edito;4;De Rosa, Gabriele;;;1971;Firenze;Landi;Storia,Chiesa;Venturati;Venturati;;;
5 lezioni di Francesco De Sanctis su Mazzini;01.1.DES5LE;Libro edito;;De Sanctis, Francesco;;;1972;Roma;Orlando;Storia;Venturati;Venturati;;;
La grande contesa;01.1.DEUGRA;Libro edito;;Deutscher, Isaac;;;1960;Torino;Einaudi;Politica;Venturati;Venturati;;;
Democrazia economica sindacato eurosocialismo;01.1.DIDDEM;Libro edito;;Didò, Mario;;;1983;Roma;Il Compagno;Politica,Socialismo;Venturati;Venturati;;;
I socialisti e la sfida tecnologica in Italia e in europa;01.1.DIDSOC.4;Libro edito;4;Didò, Mario;Manca, Enrico;Forte, Francesco;1984;Roma;Il compagno;Politica,Socialismo;Venturati;Venturati;;;
Una nuova politica per il 1970;01.1.DIMNUO;Libro edito;;Di Martino, Francesco;;;1969;Milano;Avanti!;Politica,Socialismo;Venturati;Venturati;;;
Una politica per la piena occupazione;01.1.DOLPOL;Libro edito;;Dolci, Danilo;;;1958;Torino;Einaudi;Politica,Amministrazione,Economia;Venturati;Venturati;;;
Dittatura,  classe politica e classe dirigente;01.1.DORDIT;Libro edito;;Dorso, Guido;;;1955;Torino;Einaudi;Politica;Venturati;Venturati;;;
L'occasione storica;01.1.DORLOC;Libro edito;;Dorso, Guido;;;1949;Torino;Einaudi;Politica;Venturati;Venturati;;;
La rivoluzione meridionale;01.1.DORRIV;Libro edito;;Dorso, Guido;;;1955;Torino;Einaudi;Politica;Venturati;Venturati;;;
Decentramento urbano e democrazia ;01.1.DRADEC;Libro edito;;Dragone, Umberto;;;1975;Milano;Feltrinelli;Amministrazione,Politica;Venturati;Venturati;;;
Memorie partigiane;01.1.DUNMEM;Libro edito;;Dunchi, Nardo;;;1957;Firenze;La Nuova Italia;Biografico,Resistenza;Venturati;Venturati;;;
Lo scrittoio del Presidente 1948-1955;01.1.EINSCR;Libro edito;;Einaudi, Luigi;;;1956;Torino;Einaudi;Politica;Venturati;Venturati;;;
Marcia su Roma e dintorni;01.1.EMIMAR;Libro edito;;Emilio Lussu;;;1957;Salso Maggiore;Il Gallo;Politica,Storia,Fascismo;Venturati;Venturati;;;
Gli Ideali del Risorgimento e dell'Unità;01.1.ENBIDE;Libro edito;;Ente Nazionale Biblioteche Popolari e Scolastiche;;;1961;Roma;ENBPS;Storia;Venturati;Venturati;;;
Anti-Dühring;01.1.ENGANT;Libro edito;;Engels, Friedrich;;;1956;Roma ;Edizioni Rinascita ;Filosofia,Politica,Comunismo,Economia;Venturati;Venturati;;;
Ludovico Feuerbach e il punto d'approdo della filosofia classica tedesca ;01.1.ENGLUD;Libro edito;;Engels, Friedrich;;;1950;Roma ;Edizioni Rinascita;Politica,Storia,Filosofia;Venturati;Venturati;;;
Marx come pensatore e come uomo;01.1.ENGMAR;Libro edito;;Engels, Friedrich;Lafargue, Paul;Liebnecht, Wilhem;1945;Roma;L'Unità;Biografico,Filosofia politica,Comunismo,Socialismo;Venturati;Venturati;;;
Scritti italiani ;01.1.ENGSCR;Libro edito;;Engels, Friedrich;;;1955;Cremona;Edizioni Avanti!;Comunismo;Venturati;Venturati;;;
La situazione della classe operaia in Inghilterra;01.1.ENGSIT;Libro edito;;Engels, Friedrich;;;1955;Roma;Edizioni Rinascita;Politica,Filosofia politica;Venturati;Venturati;;;
Comunismo e Cattolicesimo in una parrocchia di campagna;01.1.FAECOM;Libro edito;;Faenza, Liliano;;;1959;Milano;Feltrinelli;Politica,Comunismo,Chiesa;Venturati;Venturati;;;
La Chiesa e le organizzazioni cattoliche in Italia 1945-1955;01.1.FALCHI;Libro edito;;Falconi, Carlo;;;1956;Torino;Einaudi;Inchiesta,Chiesa;Venturati;Venturati;;;
L'altro polo della sinistra;01.1.FEDLAL;Libro edito;;Federighi, Tiziano;;;1973;Roma;Bulzoni;Politica;Venturati;Venturati;;;
Crisi italiana e fatti polacchi;01.1.FINCRI;Libro edito;;Finetti, Ugo;;;1982;;Biblioteca Rossa;Politica,Esteri;Venturati;Venturati;;;
Quaderni rossi. Lotte operaie nello sviluppo capitalistico;01.1.FOAQUA.1;Libro edito;1;Foa, Vittorio;;;1961;Milano;Edizioni Avanti!;Politica,Comunismo,Operaismo;Venturati;Venturati;;;
Idee sociali e organizzazione operaia nella prima metà dell'800;01.1.FRANIDE;Libro edito;;Francovich, Carlo;;;1959;Milano-Roma;Edizioni Avanti!;Storia,Operaismo;Venturati;Venturati;;;
La resistenza a Firenze;01.1.FRANRES;Libro edito;;Francovich, Carlo;;;1961;Firenze;La Nuova Italia;Storia,Resistenza;Venturati;Venturati;;;
Il neoclassicismo e Ugo Foscolo;01.1.FRATNEO;Libro edito;;Frattini, Alberto;;;1965;;Cappelli;Letteratura;Venturati;Venturati;;;
Problemi umani del macchinismo industriale;01.1.FRIPRO;Libro edito;;Friedmann, Georges;;;1971;Torino;Einaudi;Politica,Economia;Venturati;Venturati;;;
Lo stato e il risparmio privato;01.1.FUÀSTA;Libro edito;;Fuà, Giorgio;;;1961;Torino;Einaudi;Economia,Amministrazione;Venturati;Venturati;;;
Manuale di Preistoria;01.1.FURMAN;Libro edito;;Furon, Raymond;;;1961;Torino;Einaudi;Educazione,Storia;Venturati;Venturati;;;
Fiori rossi al Martinetto. Il processo di Torino aprile 1944;01.1.FUSFIO;Libro edito;;Fusi, Valdo;;;1968;Milano;Mursia;Storia,Resistenza;Venturati;Venturati;;;
Il risorgimento arabo ;01.1.GABFRIS;Libro edito;;Gabrieli, Francesco;;;1958;Torino;Einaudi;Storia,Esteri;Venturati;Venturati;;;
Puritanesimo e libertà;01.1.GABVPUR;Libro edito;;Gabrieli, Vittorio;;;1956;Torino;Einaudi;Politica;Venturati;Venturati;;;
Socialismo e nazionalizzazione;01.1.GAISOC;Libro edito;;Gaitskell, Hugh;;;1959;Roma;Opere Nuove;Politica,Socialismo,Amministrazione;Venturati;Venturati;;;
Il nuovo stato industriale;01.1.GALBNUO;Libro edito;;Galbraith, John K.;;;1968;Torino;Einaudi;Economia;Venturati;Venturati;;;
Benedetto Bettino;01.1.GALLGIALBEN;Libro edito;;Galli, Giancarlo;;;1982;Milano;Bompiani;Politica,Socialismo;Venturati;Venturati;;;
Dal bipartitismo imperfetto alla possibile alternativa;01.1.GALLGIODAL;Libro edito;;Galli, Giorgio;;;1975;Bologna;Il Mulino;Politica;Venturati;Venturati;;;
Opinioni sul PCI;01.1.GALLGIOOPI;Libro edito;;Galli, Giorgio;;;1977;Roma;L'Espresso;Politica,Comunismo;Venturati;Venturati;;;
Caravan;01.1.GALSCAR;Libro edito;;Galsworthy, John;;;1961;Milano;Club degli Editori;Narrativa;Venturati;Venturati;;;
A Genova non si passa ;01.1.GANAGE;Libro edito;;Gandolfi Francesco ;;;1960;Roma;Il Gallo;Politica,Resistenza,Socialismo;Venturati;Venturati;;;
Cittadini Sì e No;01.1.GARCIT;Libro edito;;Garofalo, Anna;;;1956;Torino;De Silva;Inchiesta;Venturati;Venturati;;;
Cooperazione nel Mediterraneo occidentale;01.1.GASCOO;Libro edito;;Gasteyger, Curt;Lamanna, Agostino;Aliboni, Roberto;1972;Bologna;Il Mulino;Politica,Esteri;Venturati;Venturati;;;
Una lettera al Re;01.1.GAVLET;Libro edito;;Gavagnin, Armando;;;1960;Milano;Edizioni Avanti!;Biografico;Venturati;Venturati;;;
Galileo Galilei;01.1.GEYGAL;Libro edito;;Geymonat, Ludovico;;;1957;Torino;Einaudi;Biografico;Venturati;Venturati;;;
L’effetto Craxi;01.1.GHILEF;Libro edito;;Ghirelli, Antonio;;;1982;Milano;Rizzoli;Politica,Socialismo;Venturati;Venturati;;;
Conversazione con Stalin;01.1.GILCON;Libro edito;;Gilas, Milovan;;;1962;Milano;Feltrinelli;Politica,Comunismo;Venturati;Venturati;;;
Il lavoro umano;01.1.GIOLAV;Libro edito;;Giovanni Paolo II;;;1981;Roma;Logos;Politica;Venturati;Venturati;;;
Cronache sociali 1947-1951;01.1.GLICRO.1;Libro edito;1;Glisenti, Marcella;Elia, Leopoldo;;1961;Firenze;Landi;Politica,Storia;Venturati;Venturati;;;
Cronache sociali 1947-1951;01.1.GLICRO.2;Libro edito;2;Glisenti, Marcella;Elia, Leopoldo;;1961;Firenze;Landi;Politica,Storia;Venturati;Venturati;;;
Megalopoli ;01.1.GOTMEG.1;Libro edito;1;Gottmann, Jean;;;1970;Torino;Einaudi ;Economia;Venturati;Venturati;;;
Socialismo e fascismo;01.1.GRAMSOC;Libro edito;;Gramsci, Antonio;;;1966;Torino;Einaudi;Politica,Socialismo;Venturati;Venturati;;;
La politica esterna italiana nel dopoguerra;01.1.GRAZPOL;Libro edito;;Graziano, Luigi;;;1968;Padova;Marsilio Editori;Politica,Esteri;Venturati;Venturati;;;
Introduzione alla riforma agraria;01.1.GRIINT;Libro edito;;Grieco, Ruggero;;;1949;Torino ;Einaudi ;Politica,Economia;Venturati;Venturati;;;
Patrizio Peci. Io infame;01.1.GUEPAT;Libro edito;;Guerri, Giordano Bruno;;;1983;Milano;Mondadori;Biografico,Comunismo,Terrorismo;Venturati;Venturati;;;
La società dei socialisti;01.1.GUISOC;Libro edito;;Guiducci, Roberto;;;1976;Milano;Rizzoli;Politica,Socialismo;Venturati;Venturati;;;
Dialettica senza dogma;01.1.HAVDIA;Libro edito;;Havemann, Robert;;;1965;Torino;Einaudi;Filosofia;Venturati;Venturati;;;
Albert Einstein;01.1.INFALB;Libro edito;;Infeld, Leopold;;;1963;Torino;Einaudi;Biografico;Venturati;Venturati;;;
Mia madre;01.1.JACOMMIA;Libro edito;;Jacometti, Alberto;;;1960;Milano ;Edizioni Avanti!;Biografico;Venturati;Venturati;;;
Canta il gallo;01.1.JACOPCAN;Libro edito;;Jacopini, Renato;;;1960;Milano-Roma;Edizioni Avanti!;Biografico;Venturati;Venturati;;;
